fecha_corte;entidad;provincia;canton;segmento;por_vencer;no_devenga_intereses;vencida;total_saldo;archivo_origen
2026-01-31;BP PICHINCHA;EL ORO;EL GUABO;CONSUMO;2320111.47;151161.05;62692.18;2533964.7;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;EL ORO;HUAQUILLAS;CONSUMO;4178959.78;223037.68;282292.38;4684289.84;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;EL ORO;MACHALA;CONSUMO;15455683.23;2029762.11;787219.45;18272664.79;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;EL ORO;PASAJE;CONSUMO;4301486.44;352009.27;86001.68;4739497.39;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;EL ORO;PIÑAS;CONSUMO;1722910.17;101368.38;61443.77;1885722.32;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;EL ORO;SANTA ROSA;CONSUMO;2690308.09;390067.33;128203.06;3208578.48;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;EL ORO;ZARUMA;CONSUMO;3403343.38;194008.09;60586.66;3657938.13;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;ESMERALDAS;ATACAMES;CONSUMO;2105478.22;285405.28;147427.25;2538310.75;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;ESMERALDAS;ESMERALDAS;CONSUMO;13249523.74;1526246.11;717895.77;15493665.62;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
2026-01-31;BP PICHINCHA;ESMERALDAS;QUININDE;CONSUMO;3288921.9;231536.91;131282.6;3651741.41;COLOCACIONES BANCA PRIVADA CONSUMO 2026_05.xlsx
